arrondissement,bike_records,rush_hour_ratio,pedestrian_zones,named_zones,zone_quality,total_panels,total_area,bike_records_norm,pedestrian_zones_norm,total_panels_norm,activity_score,infrastructure_gap,opportunity_score,opportunity_category,roi_score
28,3579.0,0.24224643755238895,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7,High,0.5
10,3228.0,0.2648698884758364,26.0,6.0,0.23076923076923078,10.0,20.0,0.9019279128248114,0.3939393939393939,0.2857142857142857,0.6479336533821027,0.7142857142857143,0.6744744777435474,High,0.4628097524157877
13,3193.0,0.25524585029752583,59.0,42.0,0.711864406779661,26.0,49.0,0.8921486448728695,0.8939393939393939,0.7428571428571429,0.8930440194061318,0.2571428571428571,0.6386835545008219,High,0.22963989070443386
4,0.0,0.0,33.0,20.0,0.6060606060606061,6.0,11.0,0.0,0.5,0.17142857142857143,0.25,0.8285714285714285,0.48142857142857143,Medium,0.20714285714285713
1,0.0,0.0,26.0,17.0,0.6538461538461539,4.0,7.0,0.0,0.3939393939393939,0.11428571428571428,0.19696969696969696,0.8857142857142857,0.4724675324675325,Medium,0.17445887445887445
5,0.0,0.0,39.0,25.0,0.6410256410256411,11.0,15.0,0.0,0.5909090909090909,0.3142857142857143,0.29545454545454547,0.6857142857142857,0.4515584415584416,Medium,0.2025974025974026
2,0.0,0.0,14.0,6.0,0.42857142857142855,2.0,4.0,0.0,0.21212121212121213,0.05714285714285714,0.10606060606060606,0.9428571428571428,0.4407792207792208,Medium,0.1
3,0.0,0.0,13.0,5.0,0.38461538461538464,2.0,2.0,0.0,0.19696969696969696,0.05714285714285714,0.09848484848484848,0.9428571428571428,0.43623376623376625,Medium,0.09285714285714285
9,0.0,0.0,24.0,17.0,0.7083333333333334,7.0,14.0,0.0,0.36363636363636365,0.2,0.18181818181818182,0.8,0.42909090909090913,Medium,0.14545454545454548
7,0.0,0.0,16.0,5.0,0.3125,6.0,12.0,0.0,0.24242424242424243,0.17142857142857143,0.12121212121212122,0.8285714285714285,0.40415584415584416,Medium,0.10043290043290043
18,0.0,0.0,50.0,25.0,0.5,20.0,40.0,0.0,0.7575757575757576,0.5714285714285714,0.3787878787878788,0.4285714285714286,0.3987012987012987,Low,0.16233766233766234
16,0.0,0.0,27.0,16.0,0.5925925925925926,13.0,26.0,0.0,0.4090909090909091,0.37142857142857144,0.20454545454545456,0.6285714285714286,0.3741558441558442,Low,0.1285714285714286
8,0.0,0.0,8.0,5.0,0.625,6.0,12.0,0.0,0.12121212121212122,0.17142857142857143,0.06060606060606061,0.8285714285714285,0.3677922077922078,Low,0.050216450216450215
12,0.0,0.0,48.0,31.0,0.6458333333333334,22.0,36.0,0.0,0.7272727272727273,0.6285714285714286,0.36363636363636365,0.37142857142857144,0.3667532467532467,Low,0.13506493506493508
15,0.0,0.0,30.0,10.0,0.3333333333333333,15.0,30.0,0.0,0.45454545454545453,0.42857142857142855,0.22727272727272727,0.5714285714285714,0.3649350649350649,Low,0.12987012987012986
14,0.0,0.0,25.0,11.0,0.44,17.0,34.0,0.0,0.3787878787878788,0.4857142857142857,0.1893939393939394,0.5142857142857142,0.31935064935064933,Low,0.0974025974025974
17,0.0,0.0,26.0,14.0,0.5384615384615384,18.0,36.0,0.0,0.3939393939393939,0.5142857142857142,0.19696969696969696,0.48571428571428577,0.31246753246753245,Low,0.09567099567099567
6,0.0,0.0,9.0,1.0,0.1111111111111111,12.0,14.0,0.0,0.13636363636363635,0.34285714285714286,0.06818181818181818,0.6571428571428571,0.30376623376623374,Low,0.0448051948051948
20,0.0,0.0,66.0,34.0,0.5151515151515151,35.0,61.0,0.0,1.0,1.0,0.5,0.0,0.3,Low,0.0
11,0.0,0.0,31.0,19.0,0.6129032258064516,22.0,44.0,0.0,0.4696969696969697,0.6285714285714286,0.23484848484848486,0.37142857142857144,0.28948051948051945,Low,0.08722943722943724
19,0.0,0.0,56.0,14.0,0.25,33.0,66.0,0.0,0.8484848484848485,0.9428571428571428,0.42424242424242425,0.05714285714285716,0.2774025974025974,Low,0.024242424242424253
