arr,area_km2,infrastructure_type,bike_records,total_zones,named_zones,total_panels,total_area,bike_density,pedestrian_density,panel_density,named_zone_ratio,activity_score,infrastructure_score,opportunity_score,commercial_potential
1,1.8,Pedestrian Only,0.0,22,17,4.0,7.0,0.0,12.222,2.222,0.739,11.7,4.9,6.8,1.153
2,1.0,Pedestrian Only,0.0,12,6,2.0,4.0,0.0,12.0,2.0,0.462,5.4,2.6,2.8,0.778
3,1.2,Pedestrian Only,0.0,13,5,2.0,2.0,0.0,10.833,1.667,0.357,5.4,2.0,3.4,1.133
4,1.6,Pedestrian Only,0.0,31,20,6.0,11.0,0.0,19.375,3.75,0.625,15.3,7.5,7.8,0.918
5,2.5,High Pedestrian Potential,0.0,36,25,11.0,15.0,0.0,14.4,4.4,0.676,18.3,12.2,6.1,0.462
6,2.2,Pedestrian Only,0.0,9,1,12.0,14.0,0.0,4.091,5.455,0.1,3.0,12.6,-9.6,-0.706
7,4.1,Pedestrian Only,0.0,16,5,6.0,12.0,0.0,3.902,1.463,0.294,6.3,7.8,-1.5,-0.17
8,3.9,Pedestrian Only,0.0,8,5,6.0,12.0,0.0,2.051,1.538,0.556,3.9,7.8,-3.9,-0.443
9,2.2,Pedestrian Only,0.0,23,17,7.0,14.0,0.0,10.455,3.182,0.708,12.0,9.1,2.9,0.287
10,2.9,Dual Infrastructure,3228.0,24,6,10.0,20.0,1113.103,8.276,3.448,0.24,1300.2,13.0,1287.2,91.943
11,3.7,Pedestrian Only,0.0,31,19,22.0,44.0,0.0,8.378,5.946,0.594,15.0,28.6,-13.6,-0.459
12,6.4,High Pedestrian Potential,0.0,42,31,22.0,36.0,0.0,6.562,3.438,0.721,21.9,26.2,-4.3,-0.158
13,7.1,Dual Infrastructure,3193.0,50,42,26.0,49.0,449.718,7.042,3.662,0.824,1304.8,32.9,1271.9,37.519
14,5.6,Pedestrian Only,0.0,24,11,17.0,34.0,0.0,4.286,3.036,0.44,10.5,22.1,-11.6,-0.502
15,8.5,Pedestrian Only,0.0,27,10,15.0,30.0,0.0,3.176,1.765,0.357,11.1,19.5,-8.4,-0.41
16,7.9,Pedestrian Only,0.0,20,16,13.0,26.0,0.0,2.532,1.646,0.762,10.8,16.9,-6.1,-0.341
17,5.7,Pedestrian Only,0.0,22,14,18.0,36.0,0.0,3.86,3.158,0.609,10.8,23.4,-12.6,-0.516
18,6.0,High Pedestrian Potential,0.0,48,25,20.0,40.0,0.0,8.0,3.333,0.51,21.9,26.0,-4.1,-0.152
19,6.8,High Pedestrian Potential,0.0,52,14,33.0,66.0,0.0,7.647,4.853,0.264,19.8,42.9,-23.1,-0.526
20,6.0,High Pedestrian Potential,0.0,65,34,35.0,61.0,0.0,10.833,5.833,0.515,29.7,42.8,-13.1,-0.299
