site_id,site_label,longitude,latitude,total_traffic,avg_traffic,measurements,transport_modes
10004,CF0256_88 rue de Rivoli,2.349109,48.858273,69664,42.04,1657,7
10015,CF0181_101 rue d'Amsterdam,2.327263,48.883513,36921,61.54,600,4
10019,143 quai de Valmy,2.365016,48.877338,19981,52.03,384,4
10020,134 quai de Jemmapes,2.364635,48.875967,11932,48.5,246,5
10022,CF0892_65 rue de Rivoli (Bourdonnais),2.344817,48.859617,66293,66.83,992,7
10023,CF0318_29 rue de Rivoli (Lobau),2.353837,48.856949,50046,48.73,1027,7
10028,CF0004_29 boulevard Poissonnière (sens O-E),2.3418311,48.8714843,21823,46.63,468,5
10029,CF0004_2 boulevard Montmartre (sens E-O),2.341831,48.8714843,71913,74.52,965,7
10030,CF0001_9 boulevard de Sébastopol,2.348208,48.858628,5636,76.16,74,6
10077,CF0038_115 rue de Rivoli (Saint-Roch),2.332196,48.8637441,1616,64.64,25,7
10078,CF0389_149 rue de Rivoli (Cambon),2.3249276,48.8661799,4792,93.96,51,7
10081,CF1391_171 avenue Jean Jaurès (sens O-E),2.3857779,48.8869615,2482,45.96,54,7
10083,CF1501_48 boulevard Vincent Auriol (sens E-O),2.37063,48.83578,939,24.08,39,7
10086,CF1047_187 avenue Jean Jaurès (sens E-O),2.3891549,48.8878207,4172,88.77,47,7
10087,CF0023_20 boulevard Saint-Michel,2.34332,48.851172,4571,57.86,79,7
10088,CF0317_9bis quai Anatole France,2.32415,48.86116,5396,186.07,29,6
10093,CF1206_12bis avenue de Clichy,2.3271829,48.8844469,2548,39.2,65,7
10114,CF0484_Pont de l'Alma (sens N-S),2.30152,48.86414,3761,83.58,45,7
10116,CF0236_96 quai de la Rapée,2.3678,48.84579,4969,165.63,30,7
10120,CF0664_5 boulevard de Bercy,2.37816,48.83999,2084,50.83,41,7
10121,CF0886_68 boulevard de Grenelle (sens NO-SE),2.29302,48.85039,1077,43.08,25,6
10129,CF1873_20 boulevard Ney (piste tram Pte d'Aubervilliers),2.36831,48.89859,361,30.08,12,2
10130,CF0039_7 quai de Conti,2.34026,48.85623,2,2.0,1,1
10131,CF0548_48 rue du Château-Landon,2.36361,48.88267,455,17.5,26,6
10132,CF0326_26 rue Tronchet,2.3260433,48.873118,1977,35.95,55,7
10133,CF0030_111 rue la Fayette,2.352425,48.878147,2507,50.14,50,7
10135,CF0245_310 rue de Vaugirard,2.2966493,48.8377059,2093,29.9,70,7
10136,CF0677_10 boulevard du Palais,2.34518,48.85431,5217,66.04,79,7
10145,CF1062_90 boulevard Exelmans (sens SE-NO),2.25938,48.84395,436,33.54,13,6
10146,CF1321_7 boulevard Saint-Martin (sens O-E),2.35604,48.86896,2007,57.34,35,7
10151,CF0325_41 boulevard Haussmann,2.33046,48.8732,1675,79.76,21,6
10155,CF1558_ 82 boulevard Lefèbvre,2.29906,48.82894,857,77.91,11,6
10179,CF1172_231 rue La Fayette,2.36744,48.8821,660,26.4,25,7
10181,CF1847_Porte d'Orléans (sens S-N),2.324674,48.8223265,2448,46.19,53,7
10183,CF1343_Face au 15 rue Froidevaux,2.3243596,48.835142,1991,60.33,33,6
10185,CF0815_165 rue du Faubourg Saint-Martin,2.36155,48.87806,3478,57.97,60,7
10186,CF1661_80 avenue du Général Leclerc (sens N-S),2.3276541,48.8290561,1366,30.36,45,6
10187,CF1661_67 avenue du Général Leclerc (sens S-N),2.3278,48.82874,2056,46.73,44,7
10192,CF0817_97 rue de la Chapelle,2.35869,48.89822,952,34.0,28,7
