arrondissement_clean,named_zones,total_zones,unnamed_zones,named_percentage,commercial_potential,zone_category
1,17,26,9,65.4,Medium,Medium
10,6,26,20,23.1,Low,Medium
11,19,31,12,61.3,Medium,Medium
12,31,48,17,64.6,Medium,High
13,42,59,17,71.2,High,High
14,11,25,14,44.0,Medium,Medium
15,10,30,20,33.3,Low,Medium
16,16,27,11,59.3,Medium,Medium
17,14,26,12,53.8,Medium,Medium
18,25,50,25,50.0,Medium,High
19,14,56,42,25.0,Low,High
2,6,14,8,42.9,Medium,Low
20,34,66,32,51.5,Medium,High
3,5,13,8,38.5,Low,Low
4,20,33,13,60.6,Medium,Medium
5,25,39,14,64.1,Medium,Medium
6,1,9,8,11.1,Low,Low
7,5,16,11,31.2,Low,Low
8,5,8,3,62.5,Medium,Low
9,17,24,7,70.8,High,Medium
